Legend: waktu, latitude, longitude, altitude, gx, gy, gz, ax, ay, az 
(2023-03-11_15-04-41.718, 0, 0, 0, 0.01423446275293827, -0.010698171332478523, 0.017136238515377045, 0.5755249857902527, -0.05063558369874954, -9.8060941696167) 
(2023-03-11_15-04-42.898, 0.0, 0.0, None, 0.00495174340903759, -0.014388931915163994, 0.005519717000424862, 0.6229686737060547, -0.06494078785181046, -9.681621551513672) 
(2023-03-11_15-04-42.959, 0.0, 0.0, None, 0.00620003417134285, -0.01378290168941021, 0.009793947450816631, 0.6609160900115967, -0.05058182030916214, -9.595441818237305) 
(2023-03-11_15-04-43.007, 0.0, 0.0, None, -0.00729740783572197, 0.0033789128065109253, -0.006787357851862907, 0.9325358867645264, -0.19917422533035278, -9.888012886047363) 
(2023-03-11_15-04-43.047, 0.0, 0.0, None, -0.003668278455734253, -0.0051774512976408005, -0.011017952114343643, 0.6417334079742432, 0.08806875348091125, -9.566596031188965) 
(2023-03-11_15-04-43.089, 0.0, 0.0, None, -0.012200403958559036, 0.001491723582148552, -8.673779666423798e-05, 0.8994396924972534, -0.1419241726398468, -10.113058090209961) 
(2023-03-11_15-04-43.137, 0.0, 0.0, None, -0.008563983254134655, 0.004021463915705681, -0.017778223380446434, 0.5226914882659912, 0.1360098123550415, -9.504164695739746) 
(2023-03-11_15-04-43.179, 0.0, 0.0, None, -0.011564341373741627, -0.00838387943804264, 0.019474897533655167, 0.6708716154098511, 0.14983069896697998, -10.141361236572266) 
(2023-03-11_15-04-43.220, 0.0, 0.0, None, 0.008607346564531326, -0.012492315843701363, -0.006067355629056692, 0.4704738259315491, 0.02133287861943245, -9.51375675201416) 
(2023-03-11_15-04-43.263, 0.0, 0.0, None, -0.007203288376331329, -0.0010176226496696472, 0.024959154427051544, 0.4044187068939209, 0.1644243597984314, -10.107522964477539) 
(2023-03-11_15-04-43.304, 0.0, 0.0, None, 0.016690487042069435, -0.005136676132678986, 0.008584053255617619, 0.4755578637123108, -0.05528981238603592, -9.743715286254883) 
(2023-03-11_15-04-43.345, 0.0, 0.0, None, -0.014681831933557987, -0.001582421362400055, -0.0019165966659784317, 0.6329931020736694, 0.08765837550163269, -10.251519203186035) 
(2023-03-11_15-04-43.387, 0.0, 0.0, None, 0.009273482486605644, -0.00945310853421688, 0.0036889342591166496, 0.7035846710205078, 0.09756549447774887, -9.581029891967773) 
(2023-03-11_15-04-43.435, 0.0, 0.0, None, -0.017649207264184952, 0.016179513186216354, 0.0022866465151309967, 0.7988746166229248, 0.2455088198184967, -9.825324058532715) 
(2023-03-11_15-04-43.476, 0.0, 0.0, None, 0.0025706756860017776, 0.011412431485950947, -0.00921801570802927, 0.7607549428939819, 0.04491635039448738, -9.614654541015625) 
(2023-03-11_15-04-43.509, 0.0, 0.0, None, -0.009822654537856579, -0.0052029527723789215, -0.012871166691184044, 0.7893946170806885, 0.27416419982910156, -9.877983093261719) 
(2023-03-11_15-04-43.542, 0.0, 0.0, None, -0.011644640937447548, -0.005231998860836029, -0.006775469519197941, 0.6516224145889282, 0.04963695630431175, -9.868385314941406) 
(2023-03-11_15-04-43.582, 0.0, 0.0, None, -0.007326584309339523, -0.008920444175601006, 0.0024057701230049133, 0.5321457386016846, 0.15514439344406128, -9.46584701538086) 
(2023-03-11_15-04-43.623, 0.0, 0.0, None, -0.008497032336890697, 0.003962578251957893, 0.0005291039124131203, 0.6467193365097046, 0.13571691513061523, -9.806060791015625) 
(2023-03-11_15-04-43.673, 0.0, 0.0, None, -0.02380937896668911, 0.016775358468294144, -0.002009517513215542, 0.7038019895553589, 0.2694418132305145, -9.906627655029297) 
(2023-03-11_15-04-43.721, 0.0, 0.0, None, -0.0005757231265306473, -0.007643217220902443, -0.002455398440361023, 0.8604736328125, -0.07451287657022476, -9.360983848571777) 
(2023-03-11_15-04-43.762, 0.0, 0.0, None, -0.004667114466428757, 0.02419339492917061, 0.01085162628442049, 0.812847375869751, 0.28387877345085144, -9.590619087219238) 
(2023-03-11_15-04-43.803, 0.0, 0.0, None, 0.00928468443453312, -0.006381707265973091, 0.00245857797563076, 0.837299108505249, -0.1608196198940277, -9.83519458770752) 
(2023-03-11_15-04-43.844, 0.0, 0.0, None, 0.007409647107124329, -0.0014340858906507492, -0.012820057570934296, 0.7560434341430664, 0.202556774020195, -9.777403831481934) 
(2023-03-11_15-04-43.893, 0.0, 0.0, None, -0.001111011952161789, -0.005251260474324226, 0.015841785818338394, 0.9037989377975464, -0.2372652292251587, -9.686834335327148) 
(2023-03-11_15-04-43.926, 0.0, 0.0, None, 0.009924551472067833, 0.001610616222023964, -0.0018365345895290375, 0.8608536720275879, 0.1832723319530487, -9.89727783203125) 
(2023-03-11_15-04-43.967, 0.0, 0.0, None, 0.00753873772919178, 0.005847383290529251, 0.012176278047263622, 0.9944648742675781, -0.161053866147995, -9.993433952331543) 
(2023-03-11_15-04-44.015, 0.0, 0.0, None, -0.01953055150806904, 0.016818923875689507, -0.008706466294825077, 0.6279364824295044, 0.1021573543548584, -9.997648239135742) 
